[2020-12-25 11:34:58,940] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 11:34:59,188] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 11:36:35,883] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\common_impl.py.get_connection_types():20] Get connection types
[2020-12-25 11:36:35,890] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 11:36:36,082] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 11:36:47,356] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\database_impl.py.get_databases():21] Get databases
[2020-12-25 11:36:47,369] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 11:36:47,397] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 11:36:54,537] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\database_impl.py.get_db_connection_types():50] Get databases connection params
[2020-12-25 11:36:54,538] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 11:36:54,564] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 11:38:02,184] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.create_flow():42] Create flow
[2020-12-25 11:38:02,202] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 11:38:02,220] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 11:40:15,230] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 11:40:15,259] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 11:41:02,126] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 11:41:02,257] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 11:41:18,204] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.delete_flow():72] Delete flow
[2020-12-25 11:41:18,249] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 11:41:18,350] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 11:41:25,265] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.create_flow():42] Create flow
[2020-12-25 11:41:25,272] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 11:41:25,369] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 11:43:40,368] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 11:43:40,388] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 11:45:12,123] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 11:45:12,181] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 11:45:16,553] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.delete_flow():72] Delete flow
[2020-12-25 11:45:16,574] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 11:45:16,645] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 11:45:25,686] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.create_flow():42] Create flow
[2020-12-25 11:45:25,699] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 11:45:25,757] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 11:48:00,581] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 11:48:00,597] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 11:53:53,950] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\database_impl.py.get_db_connection_types():50] Get databases connection params
[2020-12-25 11:53:54,005] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
